"","gendered_words"
"95","... Für diese Stelle suchen wir eine Englisch-erstsprechende Person. / Für diese Stelle suchen wir eine Person, deren erste Sprache Englisch ist."
"96","... Genie; Berühmtheit; Ikone"
"97","... Geschmäcker sind verschieden."
"98","... gesetzliche Vertretung; gesetzlich vertretende Person"
"99","... Gewappnet sein gegen Cyper-Erpressung"
"100","... Gibt es einen Konflikt zwischen zwein in der WG, kann die Unterstützung einer dritten Person hilfreich sein."
"101","... Halten Sie 1,5m Abstand zu anderen. / ... Halten Sie 1,5m Abstand zur Person vor Ihnen."
"102","... Hochschulpersonal"
"103","... Holen Sie sich ärztlichen oder pharmazeutischen Rat. / Holen Sie sich bei Fragen ärztlichen Rat oder erkundigen Sie sich in Ihrer Apotheke."
"104","... Humanitäre Helfende"
"105","... Ich bin mit Sasha zusammen. / Sasha ist mein Lieblingsmensch/meine bessere Hälfte. / Sasha ist die Person, die ich liebe."
"106","... Ich gehe heute in den Frisiersalon. / Ich gehe heute zum Haare schneiden."
"107","... Ich glaube es kaum."
"108","... Ich suche jemanden/eine Person/einen Mensch mit guten Englischkenntnissen."
"109","... Ihr werdet jetzt gleich der Reihe nach euer Lied vorsingen."
"110","... Ihre persönliche Ansprechperson; ... Sie werden persönlich beraten von/durch ..."
"111","... Jedes Kita-Kind kann zum Adventsfrühstück seine Geschwister mitbringen."
"112","... Kauffachkraft für Büromanagement"
"113","... kollegiale Unterstützung"
"114","... Kommen Sie gerne in Begleitung (einer weiteren Person). / Bringen Sie gerne eine Begleitperson mit. / Lassen Sie sich gerne von einer Ihnen nahestehenden Person begleiten."
"115","... Land der Literatur; Land der Gedichte und Gedanken; Land der Dichtung und des Denkens; Land der dichtenden und denkenden Personen; Land der Dichtenden und Denkenden"
"116","... landwirtschaftlich (Produkt-)Erzeugende; Produzierende von landwirtschaftlichen Produkten"
"117","... Lass uns in der Mittagspause zum Dönerimbiss gehen."
"118","... Liebe Bekannte und unterstützender Personenkreis unseres Vereins!"
"119","... Liebe Mitglieder unseres Vereins, schön, dass Ihr heute zur Vollversammlung gekommen seid!"
"120","... Liebe Vereinsfördernde!"
"121","... Löst die Aufgabe zu zweit. / Löst die Aufgabe im Tandem."
"122","... Mädchenteam"
"123","... Manchen ist gar nicht klar, was sie damit anrichten."
"124","... Medien und politisch beobachtende Personen gehen von zwei möglichen Szenarien aus."
"125","... Mitglieder der Presse"
"126","... Mitglieder; Helfende; Freiwillige; Unterstützende"
"127","... mutig oder feige?"
"128","... Natur; (freie/unberührte) Landschaft; Erde; Schöpfung; (natürliche) Umwelt; (das) Grüne; Naturreich"
"129","... nicht wissen, was man tut"
"130","... Notsituation"
"131","... Person über Bord!"
"132","... politische Entscheidungstragende"
"133","... privat- oder schulärztliche Anmeldung"
"134","... Raumfahrt mit Besatzung; ... astronautische Raumfahrt; kosmonautische Raumfahrt; taikonautische Raumfahrt  im Gegensatz zu robotischer Raumfahrt"
"135","... robotische Raumfahrt im Gegensatz zu astronautischer Raumfahrt"
"136","... sämtliche Mitarbeitenden"
"137","... serviceorientierte Verwaltung; menschenorientierte Verwaltung; Verwaltung im Kontakt mit den Menschen; Verwaltung auf Augenhöhe"
"138","... Sie hat den Bachelor of Arts in Geschichte."
"139","... Sie sollten die Person, mit der Sie in einer Lebenspartnerschaft leben, mit einbeziehen."
"140","... Sie übernimmt übergangsweise die Leitung, bis eine Nachfolge gefunden wurde."
"141","... Sie werden kurz nach Antragstellung benachrichtigt."
"142","... Sprachanimierende"
"143","... Stimmungsunterhaltende"
"144","... Tauscht euch zu zweit über den Text aus. / Tauscht euch an eurem Tisch über den Text aus."
"145","... Technische Fachkraft mit staatlicher Anerkennung; staatlich anerkannte Fachkraft im Bereich Technik"
"146","... Teilzeitkraft"
"147","... Um 15 Uhr wird bekannt gegeben, wer gewonnen hat."
"148","... Um an unserer Klinik im ärztlichen Dienst arbeiten zu können, müssen Sie die Approbation im Original vorlegen."
"149","... unabhängig sein; sich nach niemandem richten müssen"
"150","... Vermietende;  weitere Alternativen gesucht: senden Sie Ihren Vorschlag über das Kontaktformular (klick)"
"151","... von der Krebskrankheit Betroffene; Krebskranke"
"152","... von Gefühlen überwältigt werden; sich von Gefühlen hinreisen lassen"
"153","... Von Seiten des Netzbetriebs wird ... gefordert."
"154","... Während der Reise haben Frau Schulz und Herr Meier die Busführung. / ... Während der Reise fahren Frau Schulz und Herr Meier den Bus."
"155","... Wanderung für Genussmenschen; ... Genusswanderung"
"156","... Welche Voraussetzungen erfüllen Sie für die Tätigkeit als fahrzeugführende
Person eines Absetzkippers?"
"157","... wenn es dir selbst schon mal so gegangen ist."
"158","... Wenn es zu laut ist, können viele nichts verstehen."
"159","... Wenn Sie durch das Fenster blicken, können Sie das Meer sehen."
"160","... Wer bekommt? Die nächste Person, bitte! Die Nächsten, bitte! Wo geht es weiter? Wer ist jetzt dran? Wer ist als nächstes dran? Bei wem darf ich weitermachen? Und weiter, bitte!"
"161","... Wer betreut Ihre Promotion? / ... Wer hat die Betreuung Ihrer Promotion inne?"
"162","... Wer das Angebot nutzt, wird bevorzugt."
"163","... Wer ist deine favorisierte Person, die bei den Olympischen Spielen antritt?"
"164","... Wer sind die anderen Vorstandsmitglieder? / Wer ist noch im Vorstand?"
"165","... Wie alt ist dein Geschwister(kind)?"
"166","... Wie viele Anmeldungen gibt es für den Kurs?; Wie viele haben sich für den Kurs angemeldet?"
"167","... Wie viele Mitglieder hat das Fitnessstudio?"
"168","... Wie viele Mitglieder hat diese Website?"
"169","... Wir danken allen geschäftlichen Kontakten und unserem Freundeskreis."
"170","... Wir richten uns an Modellbaubegeisterte."
"171","... zum Sprechen animierende/anregende Person"
"172","... Zur Paketzustellung bin ich leider nie daheim! / Wenn Pakete kommen, bin ich leider nie daheim."
"173","... Zwei-Personen-Zelt; Zweier-Zelt"
"174","[als Neutrum ist dieses Wort schon gendergerecht: DAS Individuum]"
"175","[als Neutrum ist dieses Wort schon gendergerecht: DAS Mitglied (sg.) - die Mitglieder (pl.); wer dennoch eine Alternative bevorzugt, kann diese hier nutzen:] Zugehörige; Angehörige; Teil von ..."
"176","[als Neutrum ist dieses Wort schon gendergerecht: DAS Mitglied]"
"177","[als Neutrum ist dieses Wort schon gendergerecht: DAS Opfer]"
"178","[aus einer Szene] aussteigende Person"
"179","[Begriff ist schon genderneutral]"
"180","[bereits gendergerecht; mögliche Alternativen:] Fachperson; Person mit Fachwissen/Fachkenntnis"
"181","[bereits gendergerecht; mögliche Alternativen:] Sachkundige; Fachleute; Sachverständige"
"182","[dieser Begriff ist bereits genderneutral]"
"183","[dieser Begriff ist im Plural bereits genderneutral: sg. die Ahne (f.) oder der Ahne (m.) -> pl. die Ahnen (f.) und die Ahnen (m.)]"
"184","[dieser Begriff ist im Plural bereits genderneutral]"
"185","[dieses Wort ist schon gendergerecht; es gibt keine ""Charakterin""; wer dennoch eine Alternative bevorzugt, kann diese hier nutzen:] Hauptfigur; Hauptperson; Hauptfigur; zentrale Gestalt; Schlüsselfigur; Titelrolle"
"186","[dieses Wort ist schon gendergerecht; wer sich unter dem Begriff dennoch einen Rat aus Männern vorstellt, kann diese Alternativen verwenden: Senat; Rat weiser Menschen; Rat der Erfahrenen; Beratungsgruppe der ältesten Menschen; Gremium der ältesten Menschen; Senioritätsrat]"
"187","[Erste] Kreisbeigeordnete Person"
"188","[ich bin mir unsicher, ob das Wort gendernswert ist oder nicht; analog Kundschaft, Freundschaft, …]"
"189","[im Plural ist dieses Wort schon gendergerecht]"
"190","[in diesem Fall ist keine gendergerechte Schreibweise notwendig, denn das Tiramisu und Zitronensorbet sind keine Personen und beziehen sich nicht auf Personen]"
"191","[ist bereits genderneutral; analog zur MENSCH]"
"192","[ist bereits genderneutral; analog zur PERSON]"
"193","[ist bereits genderneutral]"
"194","[vornamen-]licherseits bei gleichgeschlechtlichen Elternpaaren, z.B. brittalicherseits, martinalicherseits"
"195","[vornamen-]licherseits bei gleichgeschlechtlichen Elternpaaren, z.B. janlicherseits, olaflicherseits"
"196","… Familienparkplatz"
"197","1-Euro-jobbende Person"
"198","1:1-Verteidigung; 1:1-Deckung; personenorientierte Deckung; Direktdeckung [Gegensatz zur Raumdeckung]"
"199","Abbild auf Verkehrsampel"
"200","Abbruchquote"
"201","abendländische Kultur vertretende Person;Abendländer*in"
"202","abfahrende Person;Abfahrer*innen"
"203","Abgeordnete"
"204","abgeordnete Person für ..."
"205","abgesandt durch ...; absendende Person; von ..."
"206","abgesandte Person; delegierte Person;Emissär*innen"
"207","abgeschieden lebende Person"
"208","Abitur ablegende Person"
"209","Abitur ablegende Person; Person, die Abitur macht"
"210","Abiturient*innen;Person, die Abitur macht; Person in der Schule kurz vor, im und nach dem Abitur"
"211","Abkömmling; Kind; Kindeskinder; Enkelkinder"
"212","Ablesedienst"
"213","Abnehmende"
"214","Abonnement-Beziehende; Abonnierende; Followers; Follis"
"215","abonnierende Person; Zeitungsabonnent;Abonnent*innen"
"216","Abschluss von Verträgen vermittelnde Person; Vermietung vermittelnde Person;Makler*innen"
"217","Abschlussvorsprechen; Alumnivorsprechen Alumni = eig. auch generisches Maskulinum im Lateinischen"
"218","abseits der Gesellschaft stehende Person; individualistische Person;Außenseiter*innen"
"219","Absolutist*innen; Absolutismus vertretende Person; sich mit Absolutismus beschäftigende Person"
"220","absolvierende Person; Abschluss innehabende Person"
"221","abstammende Person; nachkommende Person; Kind; Kindeskind; Person gleicher Abstammung"
"222","Abstinenz übende Person; keinen Alkohol trinkende Person"
"223","Abteil für Rauchende; Abteil zum Rauchen"
"224","Abteil; Personenbeförderungsräume"
"225","abteilungsleitende Person; vorgesetzte Person;Abteilungsleiter*innen"
"226","Abteilungsleitung"
"227","Abteilungsleitungen; Abteilungsleitende"
"228","abtrünnige Person; Person, die eine Apostasie vollzogen hat; Person, die von einer Sache abtrünnig geworden ist"
"229","abwandernde Person"
"230","abwehrspielende Person"
"231","Abweichler*innen"
"232","abwertend: Polnische Person; Person aus Polen"
"233","Account-Management betreibende Person"
"234","Account; Konto; Zugang"
"235","Account; Konto; Zugang; Profil"
"236","Achtundsechziger*innen; Person, die an der Studentenrevolte zu Ende der Sechzigerjahre des 20. Jahrhunderts aktiv teilgenommen oder mit ihr sympathisiert hat"
"237","Act"
"238","Act; kunstschaffende Person"
"239","Adeliger Mensch"
"240","Adelstitel"
"241","Adelstitel der Thronfolgenden Nachkommen (Russicher Zaren)"
"242","adlige, beamte Person; Vogt*in; Vogt_in; Vogt/in"
"243","Administration; Admin"
"244","Administration; Admins; Administrierende"
"245","administrierende Person;Administrator*innen; Person der Administration; Admin"
"246","adressierte Person; an ..."
"247","AfD-vertretende Person;AfD-Politiker*in; AfD-Politiker_in; AfD-Politiker/in"
"248","Afrikameisterschaft; Afrikameister*innen"
"249","Afroamerikaner*innen;afroamerikanische Person; in Afroamerika lebende Person; in Afroamerika wohnende Person; aus Afroamerika stammende Person; Person aus Afroamerika; Einwohnende Person Afroamerikas"
"250","Agent*innen;Geheimaufträge ausführende Person; Geschäfte oder Künstler vermittelnde Person"
"251","Agnostizismus vertretende Person;Agnostiker*innen"
"252","Agrarwissenschaftlich tätige Person;Agrarwissenschaftler*in"
"253","Ägypter*innen"
"254","Ahn*innen;Ahne; Vorfahr; Person der Vorfahrenschaft; blutsverwandte Person; abstammender Mensch"
"255","akademische Person, die Universitätsausbildung gerade erst abgeschlossen hat"
"256","akademisches, zahnärztliches Fachpersonal;Fachkraft/Qualifizierte in der Zahntechnik"
"257","Akkader*in; Akkadische Person; Person aus Akkad (Stadt in Mesopotamien); Person aus dem akkadischen Großreich"
"258","Akkadist*in; Akkadistische Person; mit akkadischer Sprache/Kultur/Geschichte befassende Person"
"259","Akkordeon spielende Person;Akkordeonspieler*innen"
"260","Akquise"
"261","Akrobat*innen;Person, die turnerische, gymnastische oder tänzerische Übungen beherrscht; Person mit besonders körperlicher Beweglichkeit und Gewandtheit"
"262","Aktien-/Anteilshabende"
"263","Aktien besitzende Person;Aktienbesitzer*innen"
"264","Aktien besitzende Person;Aktieninhaber*innen"
"265","Aktien kaufende Person"
"266","Aktieninhabende Person; Anteilsschein innehabende Person"
"267","Aktionskunst hervorbringende künstlerisch schaffende Person;Aktionskünstler*in"
"268","Aktive"
"269","Åländer*in; auf den Ålandinseln lebende Person; auf den Ålandinseln wohnende Person; von den Ålandinseln stammende Person; Person von den Ålandinseln"
"270","Alaungerbende, handwerklich tätige Person;Weißgerber*in"
"271","Albaner*innen"
"272","Albanier*innen; Person aus Albanien; in Albanien lebende/wohnende Person"
"273","Alchemie ausübende Person;Spagiriker*innen"
"274","Aleppiner*innen; Person aus Aleppo; in Aleppo lebende/wohnende Person"
"275","Alewit*innen; Person einer islamischen Sondergemeinschaft"
"276","Alkoholiker*innen;Person, die Alkohol trinkt; Alkoholkranke Person; Trunksüchtige Person; Person mit Alkoholstörung"
"277","alkoholsüchtige Person; Person mit Alkoholsucht"
"278","Alkoholsüchtige; Menschen mit Alkoholsucht"
"279","alle, die in dieser Straße wohnen; Anwohnende; Nachbarschaft"
"280","alle; alle für sich; sämtliche"
"281","alle; die einzelne Person"
"282","alle; sämtliche; jeder Mensch"
"283","allein verdienende Person;Alleinverdiener*innen"
