"","gendered_words"
"1274","Content gestaltende Person; influencende Person"
"1275","Copilot*innen; Ersatzpilot*innen"
"1276","Cottbuser*innen; Person aus Cottbus; in Cottbus lebende/wohnende Person"
"1277","Countrymusik machende, spielende  Person"
"1278","cruisende Person"
"1279","CSU-Politiker*innen"
"1280","Cyber-Erpressung"
"1281","dahergelaufende Person"
"1282","Daker*innen"
"1283","Dalmatiner*innen;in Dalmatien lebende Person; in Dalmatien wohnende Person; aus Dalmatien stammende Person; Person aus Dalmatien; Einwohnende Person Dalmatiens"
"1284","Damaszener*innen; Person aus Damaskus; in Damaskus lebende/wohnende Person"
"1285","Darmstädter*innen; Person aus Darmstadt; in Darmstadt lebende/wohnende Person"
"1286","darstellende Person"
"1287","darstellende Person in Pornofilmen"
"1288","das Abenteuer liebende Person;Abenteurer*in"
"1289","das Arbeitsministerium leitende Person;Arbeitsminister*innen"
"1290","das Bauministerium leitende Person;Bauminister*innen"
"1291","das Bett teilende Person"
"1292","das Bildungsministeramt innehabende Person;Bildungsminister*innen"
"1293","das eigene Volk verratende Person;Volksverräter*in; Person die Volksverrat betreibt"
"1294","das erste Mal zur Wahl gehende Person"
"1295","das Familienministeramt innehabende Person;Familienminister*innen"
"1296","das Finanzgeschehen beobachtende und analysierende Person;Analyst*innen"
"1297","das Gebiet der Filmhistorie kennende Person;Filmhistoriker*innen"
"1298","das Gesundheitsministeramt innehabende Person;Gesundheitsminister*innen"
"1299","das Höhleninnere untersuchende, forschende Person;Höhlenforscher*innen"
"1300","das Konsularamt ehrenamtlich ausübende Person"
"1301","das Kultusministeramt innehabende Person;Kulturminister*innen"
"1302","das Kultusministerium leitende Person;Kultusminister*innen"
"1303","das Landwirtschaftsministerium innehabende Person;Landwirtschaftsminister*innen"
"1304","das Laufen trainierende Person;Lauftrainer*in; Lauftrainer_in; Lauftrainer/in"
"1305","das Leben sorglos genießende Person"
"1306","das Lektorat"
"1307","das Militär beratende Person"
"1308","das Pferdereiten unterrichtende Person;Reitlehrer*innen"
"1309","das Regime des eigenen Landes kritisierende Person;Regimekriter*in"
"1310","das Schulamt leitende Person;Schulamtsleiter*in"
"1311","das Verkehrsministeramt innehabende Person;Verkehrsminister*innen"
"1312","das Wissenschaftsministerium leitende Person;Wissenschaftsminister*innen"
"1313","Daten schützende Person; Datenbeaufragte Person;Datenschützer*innen"
"1314","Datenbankadministrator*in; für Datenbankmanagementsysteme zuständige Person"
"1315","Dattelner*innen;Person aus Datteln"
"1316","dauerhaft campierende Person;Dauercamper*in"
"1317","dauerhaft in einer Wohnung lebende Person;Dauermieter*innen"
"1318","DDR-Historiker*innen"
"1319","Debrecziner*innen"
"1320","Dedikant*innen"
"1321","Defraudant*in; Person, die einen Betrug begeht; Person, die eine Defraudation/Hinterziehung/Unterschlagung begeht"
"1322","delegierte Person"
"1323","dem adventistischen Glauben angehörige Person;Adventist*innen"
"1324","dem Agrarministerium vorstehende Person"
"1325","dem Anarchosyndikalismus anhängende Person;Anarchosyndikalist*in"
"1326","dem Antrag entgegentretende Person; Gegenpart des Antrages"
"1327","dem Anwalt beruflich helfende, unterstützende Person"
"1328","dem äthiopischen Judentum angehörige Person"
"1329","dem Bahnhof vorstehende, verbeamtete Person"
"1330","dem benedektinischen Orden angehörige Person;Benediktiner*innen"
"1331","dem Betriebsrat angehörige Person"
"1332","dem Buddhismus anhängende Person; Person buddhistischen Glaubens;Busshist*innen"
"1333","dem Bundesaußenministerium vorstehende Person;Bundesaußenminister*innen"
"1334","dem Chef assistierende Person;Chefsekretär*in"
"1335","dem CIA angehörende Person;CIA-Angestellte Person"
"1336","dem Darwinismus anhängende Person;Darwinist*innen"
"1337","dem Deismus anhängende Person;Deist*innen"
"1338","dem Dominikanerorden angehörende Person;katholische Ordensleute; Personen des katholischen Predigerordens; Katholische Person"
"1339","dem evangelischen Glauben angehörige Person;Protestant*innen"
"1340","dem Faschismus anhängende Person"
"1341","dem Franziskanerorden angehörende Person"
"1342","dem Fürstengeschlecht der Welfen  angehörende Person"
"1343","dem Fußballsport anhängende Person;Fußballanhänger*innen"
"1344","dem Futurismus anhängende Person; den Futurismus vertretende Person"
"1345","dem gleichen Geschlecht angehörige Person"
"1346","dem gleichen Glauben angehörende Person"
"1347","dem Guttemplerorden angehörende Person"
"1348","dem Kapuzinerorden angehörige Person;Kapuziner*innen"
"1349","dem kath. Kindermissionswerk Sternsinger dienende Person;Sternsinger*innen"
"1350","dem katholischen Glauben angehörende Person"
"1351","dem Kemalismus anhängende Person;Kemalist*in"
"1352","dem Kloster vorstehende Person"
"1353","dem Monetarismus anhängende Person"
"1354","dem Nationalismus anhängende Person;Nationalsozialist*innen"
"1355","dem Neuheidentum angehörende Person"
"1356","dem nichtfürstlichen Adel angehörende Person; Großgrundbesitzende adlige Person"
"1357","dem Nudismus anhängende Person"
"1358","dem Orden der Augustiner angehörende Person"
"1359","dem Pandeismus anhängende Person;Pandeist*innen"
"1360","dem Pantheismus anhängende Person;Pantheist*innen"
"1361","dem Parismus anhängende Person"
"1362","dem Pazifismus anhängende Person;Pazifist*innen"
"1363","dem Propagandaministerium angehörige Person;Propagandaminister*innen"
"1364","dem Regisseur assistierende Person;Regieassistent*innen"
"1365","dem Ressort Umwelt vorstehende Person;i Ministerium für Umwelt vorstehende Person;Umweltminister*innen"
"1366","dem Salafismus anhängende Person"
"1367","dem Schintoismus anhängende Person"
"1368","dem Sozialismus zugewandte Person; sozialistische Person; Sozialist*innen"
"1369","dem Stadtrat angehörige Person"
"1370","dem Syndikalismus anhängende Person;Syndikalist*in"
"1371","dem Theismus anhängende Person;Theist*innen"
"1372","dem Throninhaber folgende Person;Thronfolger*in; Thronfolger_in; Thronfolger/in"
"1373","dem Volksstamm der Reußen angehörige Person"
"1374","dem Zisterzienserorden angehörige Person;Zisterzienser*innen"
"1375","Demographie betreibende Person;Demograf*in"
"1376","Demographie betreibende Person;Demograph*in"
"1377","Demokratiebegeisterte; Demokratieüberzeugte; demokratisch eingestellte Personen"
"1378","Demonstrierende"
"1379","den 1. Vorsitz hat ..."
"1380","den 68er Jahren anhängende Person;Alt-Achtundsechziger*innen"
"1381","den Adelstitel Marquis tragende Person"
"1382","den Adelstitel Vicomte tragende Person;Person mit französischen Adelstitel"
"1383","den akademischen Grad Magister innehabende Person"
"1384","den Akmeismus vertretende Person"
"1385","den anderen vorturnende Person;Vorturner*innen"
"1386","den Antifaschismus vertretende Person"
"1387","den Antikommunismus vertretende Person; antikommunistisch eingestellte Person"
"1388","den Arzt unterstützende Person;Arzthelfer*innen"
"1389","den Bau in Auftrag gebende Person; Auftraggebende Person / Instanz"
"1390","den Behaviorismus vertretende Person;Behaviorist*in"
"1391","den Beruf des Bauingenieurs innehabende Person;Bauingenieur*innen"
"1392","den Biblizismus vertretende Person;Biblizist*in"
"1393","den Expressionismus vertretende Person;expressionistische Kunst ausübende Person; künstlerische Person; Expressionist*innen"
"1394","den Fauvismus vertretende Person;Fauvist*in; Fauvist_in; Fauvist/in"
"1395","den Ideen Freuds anhängende Person;Freudianer*innen"
"1396","den Jesiden angehörige Person"
"1397","den Literaturnobelpreis tragende Person"
"1398","den Neuplatonismus vertretende Person;Neuplatoniker*innen"
"1399","den Nominalismus vertretende Person"
"1400","den Oscarpreis erhaltende Person"
"1401","den Philosemitismus vertretende Person;Philosemit*innen"
"1402","den Rechtsextremismus vertretende Person;Rechtsextemist*in"
"1403","den Rechtspopulismus vertretende Person;Rechtspopulist*in"
"1404","den Separatismus vertretende Person"
"1405","den Solipsismus vertretende Person"
"1406","den Surrealismus vertretende Person;Surealist*in; Surealist_in; Surealist/in"
"1407","den Titel Count tragende Person"
"1408","den Titel Infant tragende Person;Infant*innen"
"1409","den Titel Maharadscha innehabende Person"
"1410","den Titel verteidigende Person"
"1411","den Verein trainierende Person;Vereinstrainer*innen"
"1412","den Vorgang betreuende Person; zuständige Person"
"1413","den Wein bewußt genießende Person"
"1414","den Zionismus vertretende Person; dem Zionismus anhängende Person"
"1415","Denker*innen; denkende Person"
"1416","denkfaule Person; schwerfällige Person;Böotier*innen"
"1417","der ältesten Bevölkerung Schottlands angehörende Person"
"1418","der Aristokratie angehörige Person;Aristokrat*innen"
"1419","der Artillerie angehörige Person;Artillerist*innen"
"1420","der Bundespolizei angehörende Person"
"1421","der CDU-Fraktion vorstehende Person;CDU-Fraktionschef*innen"
"1422","der Christdemokratischen Partei zugehörige Person;Christdemokrat*innen"
"1423","der ersten Liga angehörende Person;Erstligist*innen"
"1424","der FDJ angehörende Person;FDJler*innen"
"1425","der Fraktion vorsitzende Person"
"1426","der Führungstruppe der Feldjäger angehörige Person;Feldjäger*innen"
"1427","der gleichen Partei Zugehörige"
"1428","der internationalen Jugendorganisation der Pfadfinder angehörende Person;Pfadfinder*innen"
"1429","der Irredenta angehörende Person; den Irredantismus verfechtende Person;Irredentist*innen"
"1430","der Lehre des Hedonismus anhängende Person; Lustgewinn suchende Person; genießende Person;Hedoniker*innen"
"1431","der letzte Platz"
"1432","der methodistischen Kirchengemeinde angehörende Person;Methodist*innen"
"1433","der mystischen Tradition der Kabbala zugetane Person;Kabbalist*innen"
"1434","der Partei feindlich gegenüberstehende Person;Parteifeind*in"
"1435","der Partei vorsitzende Person;Parteichef*innen"
"1436","der politischen Ideologie des Faschismus anhängende Person;Faschist*innen"
"1437","der Reichsbürgerbewegung anhängende Person;Reichsbürger*in"
"1438","der Reihe nach"
"1439","der republikanischen Staatsform anhängende Person; Mitglied der Republikanischen Partei der USA;Republikaner*innen"
"1440","der Samaritaner religionsangehörige Person; Samariter*innen"
"1441","der Scientology angehörende Person"
"1442","der Sekte Chardschiten anhängende Person"
"1443","der sozialdemokratischen Partei zugehörige Person;Sozialdemokrat*innen"
"1444","der Truppe angehörende Person; die Nachrichten überbringende Person;Meldegänger*in"
"1445","der Ufologie anhängende Person;Fachkraft/Qualifizierte der Ufologie"
"1446","der Urbevölkerung angehörende Person;Ureinwohner*innen"
"1447","der/die DJ"
"1448","derselben studentischen Verbindung angehörende Person"
"1449","des Humanismus anhängende Person; Person des Humanismus"
"1450","des Okkultismus anhängende Person"
"1451","des Terrors verdächtigte Person; eines Terroranschlags überführte Person"
"1452","des Volkes der Hurriter anhängende Person"
"1453","Design entwerfenden Person;Designer*innen"
"1454","Designschaffende"
"1455","despotische Person; alleinherrschende Person;Diktator*innen"
"1456","Detaillist*in; Person, die kleine Warenmengen an Endverbrauchende verkauft"
"1457","Deutsch lehrende Person;Deutschlehrer*innen"
"1458","Deutschbrasilianer*innen; deutschbrasilianisch abstammende Person"
"1459","deutsche Person türkischer Abstammung; in Deutschland lebende türkische Person"
"1460","deutsche Person; Person germanischer Stämme"
"1461","deutsches Staatsoberhaupt; Staatsoberhaupt einer Bundesrepublik; Person, die die Bundespräsidentschaft inne hat;  weitere Alternativen gesucht; senden Sie Ihren Vorschlag über das Kontaktformular (klick)"
"1462","Developing Person; Developing Employee"
"1463","Dezernat leitende Person; Dezernatsleitung"
"1464","Diakon*innen;ordinierte Person der Kirche; Person im kirchlichen Amt"
"1465","Dialysepflichtige Person"
"1466","Diamantrahmenfahrrad"
"1467","dichtende Person; poetische Person"
"1468","Dichter*innen; dichtende Person"
"1469","die Abendschule besuchende Person;Abendschüler*innen"
"1470","die Anklage vertretende Person;Anklagevertreter*innen"
"1471","die Arbeit einteilende Person;Arbeitseinteiler*in"
"1472","die Berliner Bevölkerung"
"1473","die Bestrebungen anderer hintertreibende Person"
"1474","die Demokratie ablehnende Person;Antidemokrat*innen"
"1475","die Dialekte erforschende Person"
"1476","die dritte Klasse besuchendes Kind;Schulkind der 3. Klasse; Drittklässler*in"
"1477","die Ehe teilende Person; Ehemensch; Eheherzperson; Herzmensch; Herzensmensch"
"1478","die Existenz Gottes verneinende Person;Atheist*innen"
"1479","die Flora kennende und  erforschende Person; berufsmäßig Blumen bindende Person"
"1480","die fünfte Klasse besuchendes Kind;Schulkind der 5. Klasse; Fünftklässler*in"
"1481","die gleiche Klasse besuchendes Kind; die gleiche Schule besuchendes Kind; die gleiche Schule besuchende Person;Mitschüler*innen"
"1482","die Globalisierung ablehnende Person;Globalisierungsgegner*innen"
"1483","die Grundlagen für etwas schaffende Person; eine bestimmte Lehre einführende Person;Begründer*in"
"1484","die Hamburger Bevölkerung"
"1485","die in Schuld stehende Person"
"1486","die jemandem Leid zufügt, jemanden quält; Person, die jemanden peinigt; Peiniger*innen"
"1487","die Karte besitzende Person; karteninhabende Person; Publikum"
"1488","die Kasse eines Vereins verwaltende Person;Kassenwart*innen"
"1489","die Konkurrenz"
"1490","die Kulturen der ozeanischen Völker erforschende Person;Ozeanist*in"
"1491","die Leistung nach Punkten bewertende Person; unparteiische Person"
"1492","die Letzten"
"1493","die Macht innehabende Person;Machthaber*innen"
"1494","die Mehrheit der Aktien besitzende Person"
"1495","die Menschen der Stadt XY; Population; Bevölkerung; gemeldete Personen"
"1496","die Münchner Bevölkerung"
"1497","die Nationalmannschaft trainierende Person; Nationaltrainer*innen"
"1498","die Naturphilosophie vertretende Person;Naturphilosoph*innen"
"1499","die Oberprima besuchende Person"
"1500","die Obersekunda besuchende Person"
"1501","die Oberstufe besuchende Person;Oberstufenschüler*in; Schulperson der Oberstufe"
"1502","die Opposition anführende Person;Oppositionsführer*innen"
"1503","die Person des Rektors stellvertretende Person;Konrektor*innen"
"1504","die Personalabteilung leitende Person;Personalchef*in"
"1505","die Position der Arbeitgeber vertretende Person"
"1506","die Position der Arbeitnehmer vertretende Person"
"1507","die Produktion leitende Person; für Produktion verantwortliche Person"
"1508","die Produktionsleitung innehabende Person"
"1509","die Quarta besuchende Person"
"1510","die Quinta besuchende Person"
"1511","die Rechnung empfangende Person"
"1512","die Requisiten verwaltende Person;Requisiteur*in; Requisiteur_in; Requisiteur/in"
"1513","die Schule schwänzende Person;Schulschwänzer*innen"
"1514","die Sprache nicht als Muttersprache sondern als Zweitsprache sprechende Person;Nichtmuttersprachler*in"
"1515","die Straße berufsmäßig kehrende, fegende Person"
"1516","die Trauung bezeugende Personen; Trauungsbegleitung"
"1517","die Trauung Bezeugende; Trauungsbegleitung"
"1518","die Verantwortung tragende Person; verantwortliche Person"
"1519","die vierte Klasse besuchendes Kind;Schulkind der 4. Klasse; Viertklässler*in"
"1520","die Vormundschaft innehabende Person; Vormundschaft"
"1521","die Vormundschaft über andere ausübende Person"
"1522","die Zeit stoppende Person"
"1523","diebische Person; stehlende Person;Taschendieb*innen"
"1524","diejenige Person, die ... ; die Person, die ..."
"1525","Diener*innen;dienende Person; Hausdienende Person; Mitglied des Hausgesindes; Person, die häusliche Pflichten erfüllt"
"1526","Dienst leistende Person;Dienstleister*in; Dienstleister_in; Dienstleister/in"
"1527","dienstälteste Diplomatie vertretende Person"
"1528","Dienstaufsichtsperson; Dienstbehörde"
"1529","Dienstbesprechung; Qualifikationsgespräch; Arbeitsgespräch; Beurteilungsgespräch; Jahresgespräch; Beschäftigtengespräch; Personalgespräch; Mitarbeitendengespräch"
"1530","Dienstleistende"
"1531","dienstleistende Person; dienstleistendes Unternehmen; Dienstleistungsunternehmen"
"1532","Dienststellenleiter*in; Dienststellenleitende Person"
"1533","Dienstzimmer; Stationszimmer; Pflegestützpunkt"
"1534","Diplom-Bibliothekar*in; Diplom-Bibliothekar_in; Diplom-Bibliothekar/in"
"1535","Diplom-Chemiker*innen;Fachkraft/Qualifizierte der Diplom-Chemie"
"1536","Diplom-Handelslehrer*in; Diplom-Handelslehrende; Diplom-Handelslehrer_in; Diplom-Handelslehrer/in"
"1537","Diplom-Volkswirt*in; Diplom-Volkswirt_in; Diplom-Volkswirt/in"
"1538","diplomierte technische Fachkraft"
"1539","Diplomingenieur*innen"
"1540","dir selbst"
"1541","Direkte Demokratie; Beteiligung der Bevölkerung; Öffentlickeitsbeteiligung"
"1542","Direktorenperson einer Gilde; Gildemeister*innen"
"1543","Direktoriumsleitung"
"1544","Diskuswerfende Person;Diskuswerfer*innen"
"1545","Disposition"
"1546","Doktoringenieur*in; Doktoringenieur_in; Doktoringenieur/in; Spezialisierte/Qualifizierte im Doktoringenieurwesen; Spezialisierte/Qualifizierte im Ingenieurwesen 2. Grades"
"1547","dolmetschende Person; übersetzende Person;Dolmetscher*in"
"1548","dolmetschende, übersetzende Person;Dolmetscher*innen"
"1549","Domestik*innen;Dienstbotenschaft verrichtende Person; Hilfsdienste verrichtende Radrennfahende Person"
"1550","Donaudampfschifffahrtsgesellschaftskapitän*innen"
"1551","Dönerimbiss; Dönerverkauf; Kebapverkauf; Dönerfachgeschäft; Dönerbude"
"1552","Doppelmörder*innen"
"1553","Doppelte Staatsbürgerschaft besitzende Person;Doppelbürger*in; Person mit doppelter Staatsbürgerschaft"
"1554","Doppelte Staatsbürgerschaft besitzende Person;Doppelstaatsbürger*in; Person mit doppelter Staatsbürgerschaft"
"1555","Dorfschullehrer*in; Lehrende der Dorfschule; Lehrende an einer Dorfschule"
"1556","Double einer Filmdarstellenden Person; Person, die gefährliche Szenen/Stunts in Filmen dreht"
"1557","Double; Ebenbild; Doppelperson"
"1558","Dozierende; Lehrpersonal; Lehrende"
"1559","Dramen dichtende, verfassende Person"
"1560","Drehorgelspielende Person;Drehorgelspieler*innen"
"1561","Dresdener*innen; Person aus Dresden; in Dresden lebende/wohnende Person"
"1562","Dresdner*innen; Person aus Dresden; in Dresden lebende/wohnende Person"
"1563","dressierender Mensch;Dompteur*innen"
"1564","Dressur reitende Person;Dressurreiter*innen"
"1565","Drittanbietende; externe Unternehmen"
"1566","dritte Person"
"1567","Drogen dealende Person"
"1568","Drogen konsumierende Person"
"1569","Drogen schmuggelnde Person;Drogenschmuggler*innen"
"1570","Drogenabhängige Person; Rauschgiftabhängige Person"
"1571","Drogensüchtige Person;Giftler*innen"
"1572","Drohnenpilot*innen; Person, die Drohne per Fernsteuerung fliegt"
"1573","Duisburger*innen; Person aus Duisburg; in Duisburg lebende/wohnende Person"
"1574","dumme Person; törichter Mensch"
"1575","durch Alter dienstunfähig gewordene geistliche Person;Emerit*innen"
"1576","durch ärztliche Person durchgeführte Obduktion;Obduzent*innen"
"1577","durch Freundschaft verbundene Person; vertraute Person"
"1578","durch leidenschaftliche Reden aufhetzende,aufwiegelnde Person"
"1579","durch sein Erscheinen etwas ankündigende Person"
"1580","durch sexuelles Verhalten sich strafbar machende Person;Sexualstraftat behende Person"
"1581","durch Stiftung Begünstigte;Destinatär*innen"
"1582","durchschnittliche bürgerliche Person;Normalbürger*in"
"1583","Durchschnittsmensch"
"1584","Ecuadorianer*innen"
"1585","edles Streitross im Mittelalter"
"1586","egoistische Person; ichbezogene Person;Egoist*innen"
"1587","ehebrecherisch handelnde Person;Ehebrecher*in"
"1588","Eheleute"
"1589","Ehemalige"
"1590","ehemalige partnerschaftliche Person;Expartner*in; Person einer ehemaligen Beziehung"
"1591","ehemalige Regierungsoberhäupter"
"1592","ehemalige Siegende bei Weltmeisterschaft;Exweltmeister*innen"
"1593","ehemaliges Streitkraftmitglied; altgediente soldatische Person;Veteran*innen"
"1594","ehemals befreundete Person"
"1595","ehemals Bundeskanzleramt innehabende Person;Altbundeskanzler*innen"
"1596","ehemals Bürgermeisteramt innehabende Person;Altbürgermeister*innen"
"1597","ehemals Hochschule besuchende Person"
"1598","Ehepartnerschaft"
"1599","ehrenamtliche Person bei Gericht"
"1600","Ehrenamtliche; Freiwillige; (ehrenamtlich) Engagierte"
"1601","ehrenhafte Person, auf deren Wort man sich verlassen kann"
"1602","ehrenhalber den Doktortitel tragende Person"
"1603","Ehrenperson"
"1604","ehrgeiziger Mensch; streberische Person;Streber*innen"
"1605","Eichsfelder*innen; Person aus Eichsfeld; in Eichsfeld lebende/wohnende Person"
"1606","Eier verkaufende Person"
"1607","eigenbrötlerische Person; eigenartiger Mensch;Eigenbrötler*innen"
"1608","eigenständig denkende Person; Person deren Ideen und Ansichten oft nicht verstanden werden;Querdenker*innen"
"1609","Eigentum Besitzende;Besitzende;inhabende Person;Proprietär*innen"
"1610","Eigentum entwendende Person; Langfinger"
"1611","Eigentum von..;Eigentümer*innen; Person mit Eigentum; Person, welche Eigentum besitzt"
"1612","Ein-Eltern-Haushalt; Ein-Eltern-Familie; alleinerziehende Person"
"1613","Ein-Personen-Betrieb"
"1614","ein Amt innehabende Person;Amtsinhaber*innen"
"1615","ein Auto entwendende Person"
"1616","ein bestimmtes Fachgebiet vertretende Person;Fachvertreter*innen"
"1617","ein Blatt erstellende Person; Zeitung verlegende Person"
"1618","ein Boot besitzende Person;Bootseigner*in"
"1619","ein Buch, Zeitung herausgebende Person; im Verlag verantwortliche Person;Editor*innen"
"1620","ein Bündnis einhaltende Person; verbündete Person"
"1621","ein Cabrio fahrende Person"
"1622","ein Cembalo spielende Person"
"1623","ein Dauerkarte besitzende Person"
"1624","ein Drehbuch schreibende Person;Drehbuchautor*innen"
"1625","ein Druckwerk herausgebende Person;Herausgeber*innen"
"1626","ein Ehrenamt verrichtende Person"
"1627","ein Eigenheim besitzende Person;Eigenheimbesitzer*innen"
"1628","ein Fahrrad entwendende Person"
"1629","ein Flugzeug entführende Person"
"1630","ein Flugzeug führende Person;Flugkapitän*in; Flugkapitän_in; Flugkapitän/in"
"1631","ein Geschäft leitende Person;Geschäftsperson"
"1632","ein Gut besitzende Person"
"1633","ein Gut verwaltende Person"
"1634","ein Gut verwaltende Person;Meier*innen"
"1635","ein Heim leitende Person;Heimleiter*innen"
"1636","ein hohes Amt innehabende Person; ehrenvolle Stellung innehabende Person;Würdenträger*innen"
"1637","ein Interview führende Person;Interviewer*innen"
"1638","ein Jagdflugzeug fliegende Person;Jagdflieger*innen"
"1639","ein Jagdrevier pachtende Person"
"1640","ein Jagdrevier pachtende Person; ein Jagdrevier innehabende Person"
"1641","ein Kaffeehaus besuchende Person"
"1642","ein Kino besuchende Person"
"1643","ein Konzert veranstaltende Person"
"1644","ein Labor leitende Person;Laborleiter*innen"
"1645","ein Lexikon verfassende, bearbeitende Person;Lexikograf*innen"
"1646","ein Militärflugzeug fliegende Person"
"1647","ein mit Diesel betriebenes Auto fahrende Person;Diselfahrer*innen"
"1648","ein Moped lenkende Person"
"1649","ein Orchester leitende Person;Ochesterleiter*innen"
"1650","ein Patent innehabende Person"
"1651","ein Plagiat begehende Person"
"1652","ein Postamt leitende Person"
"1653","ein Praktikum absolvierende Person; praktizierende Person;Praktikant*innen"
"1654","ein Produkt erzeugende Person"
"1655","ein Projekt leitende Person;Projektleiter*innen"
"1656","ein Reisebuch verfassende Person;Reisebuchautor*innen"
"1657","ein Rennen fahrende Person"
"1658","ein Ressort leitende Person"
"1659","ein Sachbuch verfassende Person;Sachbuchautor*innen"
"1660","ein Schiff besitzende Person; etwas besitzende Person"
"1661","ein Seminar leitende Person;Seminarleiter*innen"
"1662","ein Solo singende Person; Solo spielende Person"
"1663","ein Stipendium erhaltende Person; mithilfe eines Stipendiums forschende Person"
"1664","ein Tagebuch schreibende Person;Tagebuchschreiber*in"
"1665","ein Team leitende Person"
"1666","ein Teilprojekt leitende Person;Teilprojektleiter*innen"
"1667","ein Telefon bedienende, telefonische Gespräche vermittelnde Person"
"1668","ein Theater besuchende Person;Theaterbesucher*in"
"1669","ein Theater leitende Person"
"1670","ein Turnier leitende Person;Turnierleiter*innen"
"1671","ein Unternehmen gründende Person; ;Unternehmensgründer*innen"
"1672","ein Verbrechen begehender Mensch;Verbrecher*innen"
"1673","ein Wohneigentum besitzende Person;Wohnungsbesitzer*innen"
"1674","einbrechende Person; raubende Person; diebische Person;Einbrecher*innen"
"1675","einbrechende Person;Schränker*innen; einen Einbruch verübende Person; Person, welche irgendwo einbricht"
"1676","einbrechende Personen"
"1677","eine Alm bewirtschaftende Person; bäuerliche Alpenbewohnende;Älpler*in"
"1678","eine Aufsicht führende Person;Aufseher*innen"
"1679","eine Ausbildung suchende Person"
"1680","eine Ausnahme bildende athletisch tätige Person"
"1681","eine Ausstellung besuchende Person;Ausstellungsbesucherschaft"
"1682","eine Band leitende Person"
"1683","eine Beschwerde führende Person"
"1684","eine bestimmte Zeitung vertretende Person"
"1685","eine Bibliografie bearbeitende Person;Bibliograf*in"
"1686","eine Biografie verfassende Person"
"1687","eine Bühnenrolle verkörpernde Person;schauspielende Person;Darsteller*innen"
"1688","eine Cafeteria besitzende Person;Kaffeebetreiber*innen"
"1689","eine Delegation leitende Person;Delegationsleiter*innen"
"1690","eine des Schiismus anhängende Person; Schiit*innen"
"1691","eine die Gelegenheit ergreifende Person"
"1692","eine Diskussion leitende Person"
"1693","eine ein Fahrzeug besitzende/führende Person im strengen Sinne nicht korrekt: ein*e Fahrzeughalter*in muss weder Eigentümer*in sein (Leasing, Finanzierung) noch Besitzer*in (Fahrzeug wird an Lebensgefährten verliehen, Halterin fährt nicht mit/Halter ist ein Unternehmen), sondern ist die Person, die das Fahrzeug für eigene Rechnung in Gebrauch und Verfügungsgewalt hat."
"1694","eine Expedition leitende Person;Expansionsleiter*innen"
"1695","eine Fabrik besitzende Person;Fabrikbesitzer*innen"
"1696","eine Fabrik besitzende Person;Fabriksbesitzer*innen"
"1697","eine Farm betreibende Person"
"1698","eine Filiale leitende Person; Filialen besitzende Person; in Filialgemeinde seelsorgerisch tätige Person"
"1699","eine Filiale leitende Person;Filialleitung"
"1700","eine Förderschule besuchendes Kind;Förderschüler*innen"
"1701","eine Galerie besitzende, leitende Person; kunsthandelnde Person;Galerist*innen"
"1702","eine Gaststätte betreibende Person"
"1703","eine Gesellschaftsreise veranstaltende Person"
"1704","eine Gewalttat ausübende Person; Verbrechen verübende Person"
"1705","eine Goldmedaille gewinnende Person"
"1706","eine Grundschule besuchende Person"
"1707","eine Gruppe anführende Person; führende Person einer Bande;Anführer*innen"
"1708","eine Ideologie vertretende Person;Ideologische Person"
"1709","eine jemand etwas schuldende Person; Person, die eine geschuldete Leistung erbringen muss; Gläubiger*innen"
"1710","eine Jugendmannschaft trainierende Person; Jugendliche trainierende Person;Jugendtrainer*in"
"1711","eine Karawane führende Person;Karawanenführer*in; Karawanenführer_in; Karawanenführer/in"
"1712","eine Kote, Kate besitzende Person"
"1713","eine Kreditkarte besitzende Person;Kreditkartenbesitzer*in"
"1714","eine Kutsche lenkende Person;Kutscher*innen"
"1715","eine Landesmeisterschaft gewinnende Person"
"1716","eine Landesregierung leitende Person; eine Auslandsniederlassung leitende Person"
"1717","eine Laudatio haltende Person"
"1718","eine Medaille gewinnende Person"
"1719","eine Mine besitzende Person;Minenbesitzer*in; Minenbesitzer_in; Minenbesitzer/in"
"1720","eine Oper komponierende Person"
"1721","eine Operette komponierende Person"
"1722","eine Person, die ...; ein Mensch, der ..."
"1723","eine Professur innehabende Person; Prof."
"1724","eine Realschule besuchende Person"
"1725","eine Redaktion leitende Person;Chefredakteur*innen"
"1726","eine Reform durchführende Person; Reformation begründende Person;Reformator*innen"
"1727","eine Reihe gleichartiger Morde begehende Person"
"1728","eine Reihe gleicher Straftaten begehende Person"
"1729","eine Sache deutende, erklärende Person;Deuter*in"
"1730","eine Sache verfechtende Person; fürsprechende Person; verteidigende Person"
"1731","eine Sache verfechtende Person; fürsprechende Person; verteidigende Person;Staranwaltschaft"
"1732","eine Schulklasse lehrende Person;Klassenlehrer*in; Klassenlehrer_in; Klassenlehrer/in"
"1733","eine Sendung moderierende Person;Moderator*innen"
"1734","eine Show arrangierende Person;Showmaster*in"
"1735","eine Sonderschule besuchende Person"
"1736","eine Tabaktrafik besitzende Person;Tabaktrafikant*in"
"1737","eine Tanzkapelle leitende Person"
"1738","eine Trauung bezeugende Person; beistehende Person bei Eheschließung;Trauzeugen"
"1739","eine überraschend siegende Person;Überraschungssieger*in"
"1740","eine Übung leitende Person;Übungsleiter*in"
